id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd120;01/01/2013;00:10;-73.977264;40.77684;-74.015915;40.706558;1;pickUpMinDateTime
cmd121;01/01/2013;00:10;-73.986191;40.730728000000006;-73.930138;40.756771;1;pickUpMinDateTime
cmd122;01/01/2013;00:10;-73.91974599999999;40.74353;-73.907303;40.753242;1;pickUpMinDateTime
cmd123;01/01/2013;00:10;-73.992615;40.728401;-73.957413;40.762653;1;pickUpMinDateTime
cmd124;01/01/2013;00:10;-74.008385;40.725947999999995;-73.990532;40.771519;1;pickUpMinDateTime
cmd125;01/01/2013;00:10;-73.990196;40.731685999999996;-73.995598;40.729939;2;pickUpMinDateTime
cmd126;01/01/2013;00:10;-73.993332;40.724503000000006;-73.991783;40.761486;1;pickUpMinDateTime
cmd127;01/01/2013;00:10;-73.969643;40.785076000000004;-73.98176600000001;40.774547999999996;1;pickUpMinDateTime
cmd128;01/01/2013;00:10;-73.976624;40.747710999999995;-73.96330999999999;40.791946;1;pickUpMinDateTime
cmd129;01/01/2013;00:10;-73.989288;40.731674;-73.97766899999999;40.752056;2;pickUpMinDateTime
cmd130;01/01/2013;00:10;-73.99047900000001;40.738079;-73.98188;40.746323;1;pickUpMinDateTime
cmd131;01/01/2013;00:10;-74.00093100000001;40.720496999999995;-73.95620699999999;40.767658000000004;1;pickUpMinDateTime
cmd132;01/01/2013;00:10;-73.95039399999999;40.771576;-73.948044;40.782112;1;pickUpMinDateTime
cmd133;01/01/2013;00:10;-74.000473;40.727290999999994;-74.000336;40.732642999999996;1;pickUpMinDateTime
cmd134;01/01/2013;00:10;-73.978142;40.783321;-73.95385;40.775391;1;pickUpMinDateTime
cmd135;01/01/2013;00:10;-73.983742;40.743813;-73.980461;40.743481;1;pickUpMinDateTime
cmd136;01/01/2013;00:10;-74.005234;40.720371;-74.00829300000001;40.730339;1;pickUpMinDateTime
cmd137;01/01/2013;00:10;-73.967865;40.765846;-73.957146;40.774623999999996;2;pickUpMinDateTime
cmd138;01/01/2013;00:10;-73.983887;40.743519;-73.928795;40.775622999999996;1;pickUpMinDateTime
cmd139;01/01/2013;00:10;-73.986809;40.747673;-74.004013;40.716961;1;pickUpMinDateTime
cmd140;01/01/2013;00:10;-73.93564599999999;40.696999;-73.969551;40.712891;1;pickUpMinDateTime
cmd141;01/01/2013;00:10;-73.982117;40.768741999999996;-73.946999;40.772518;1;pickUpMinDateTime
cmd142;01/01/2013;00:10;-74.011093;40.709365999999996;-73.96721600000001;40.695683;1;pickUpMinDateTime
cmd143;01/01/2013;00:10;-74.006271;40.741371;-73.974716;40.750805;1;pickUpMinDateTime
cmd144;01/01/2013;00:10;-73.988754;40.722275;-73.984291;40.733356;4;pickUpMinDateTime
cmd145;01/01/2013;00:10;-73.987167;40.73658;-73.976952;40.754044;1;pickUpMinDateTime
cmd146;01/01/2013;00:10;-73.991539;40.726887;-73.977654;40.746342;1;pickUpMinDateTime
cmd147;01/01/2013;00:10;-73.980644;40.759239;-74.00788100000001;40.709072;1;pickUpMinDateTime
cmd148;01/01/2013;00:10;-73.953262;40.782681;-73.965179;40.792792999999996;1;pickUpMinDateTime
cmd149;01/01/2013;00:10;-73.78364599999999;40.648659;-73.978668;40.679127;1;pickUpMinDateTime
cmd150;01/01/2013;00:10;-74.004593;40.730995;-73.996155;40.748531;1;pickUpMinDateTime
cmd151;01/01/2013;00:10;-73.870972;40.773804;-74.00695;40.735065000000006;1;pickUpMinDateTime
cmd152;01/01/2013;00:10;-73.991837;40.754799;-73.973381;40.755210999999996;1;pickUpMinDateTime
cmd153;01/01/2013;00:10;-73.968742;40.764088;-73.951584;40.781292;4;pickUpMinDateTime
cmd154;01/01/2013;00:10;-73.94606;40.7813;-73.902176;40.857639;1;pickUpMinDateTime
cmd155;01/01/2013;00:10;-73.965889;40.765392;-73.963829;40.773994;1;pickUpMinDateTime
cmd156;01/01/2013;00:10;-73.966309;40.804854999999996;-73.991135;40.747982;1;pickUpMinDateTime
cmd157;01/01/2013;00:10;-73.968903;40.764126;-73.948662;40.774014;1;pickUpMinDateTime
cmd158;01/01/2013;00:10;-74.001411;40.751549;-74.008034;40.740356;2;pickUpMinDateTime
cmd159;01/01/2013;00:10;-73.992882;40.763546000000005;-74.000519;40.718292;2;pickUpMinDateTime
cmd160;01/01/2013;00:10;-73.98764;40.732738;-73.960724;40.761322;1;pickUpMinDateTime
cmd161;01/01/2013;00:10;-73.965111;40.755013;-73.965111;40.755013;2;pickUpMinDateTime
cmd162;01/01/2013;00:10;-73.980453;40.738716;-74.004349;40.742515999999995;1;pickUpMinDateTime
cmd163;01/01/2013;00:10;-73.989616;40.771282;-73.985191;40.768634999999996;3;pickUpMinDateTime
cmd164;01/01/2013;00:10;-73.999191;40.728221999999995;-73.936646;40.697765000000004;1;pickUpMinDateTime
cmd165;01/01/2013;00:10;-73.96545400000001;40.774681;-73.962227;40.76786;2;pickUpMinDateTime
cmd166;01/01/2013;00:10;-73.95446;40.764202000000004;-73.976463;40.775517;4;pickUpMinDateTime
cmd167;01/01/2013;00:10;-73.99342299999999;40.728035;-73.956413;40.813351000000004;1;pickUpMinDateTime
cmd168;01/01/2013;00:10;-74.003204;40.720394;-74.00443299999999;40.725567;1;pickUpMinDateTime
cmd169;01/01/2013;00:10;-74.007736;40.740501;-73.970139;40.749790000000004;2;pickUpMinDateTime
cmd170;01/01/2013;00:10;-73.98822;40.734695;-73.986336;40.726504999999996;4;pickUpMinDateTime
cmd171;01/01/2013;00:10;-73.987373;40.750462;-73.991425;40.750359;1;pickUpMinDateTime
